room,email
room08,u29@r-project.org
room08,u06@r-project.org
room08,u36@r-project.org
room08,u09@r-project.org
room04,u21@r-project.org
room04,u03@r-project.org
room04,u13@r-project.org
room04,u30@r-project.org
room05,u26@r-project.org
room05,u05@r-project.org
room05,u04@r-project.org
room05,u27@r-project.org
room06,u11@r-project.org
room06,u17@r-project.org
room06,u33@r-project.org
room06,u37@r-project.org
room07,u40@r-project.org
room07,u20@r-project.org
room07,u02@r-project.org
room07,u14@r-project.org
room02,u12@r-project.org
room02,u39@r-project.org
room02,u18@r-project.org
room02,u34@r-project.org
room01,u15@r-project.org
room01,u16@r-project.org
room01,u28@r-project.org
room01,u08@r-project.org
room03,u01@r-project.org
room03,u25@r-project.org
room03,u32@r-project.org
room03,u31@r-project.org
room09,u19@r-project.org
room09,u22@r-project.org
room09,u23@r-project.org
room09,u24@r-project.org
room10,u10@r-project.org
room10,u38@r-project.org
room10,u07@r-project.org
room10,u35@r-project.org
